Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Øystein,Nygård,Kristensenroa 9,Kristoffersen,4040,Norge,NO,19731013-4718,+47,40201301,1973-10-13,True
David,Thompson,Ashley Valleys 391,Josehaven,55232,Danmark,DK,19721012-8243,+45,(745)481-7744x9813,1972-10-12,True
Maria,Johansson,Aspvägen 401,Mölndal,88766,Sverige,SE,19570524-7098,+46,053-12 06 39,1957-05-24,True
Lena,Johansson,Parkgatan 74,Jönköping,51919,Sverige,SE,19511203-6139,+46,009-242 33 72,1951-12-03,True
Alison,Johnson,King Park 4525,New Benjamin,16781,Danmark,DK,19581104-2560,+45,286.276.0679,1958-11-04,True
Lars,Eriksson,Fabriksstigen 62,Stockholm,98300,Sverige,SE,19570422-3529,+46,0563-59 01 16,1957-04-22,True
Elisabet,Näslund,Gentorget 582,Lidingö,55242,Sverige,SE,19480229-8978,+46,08-347 44 53,1948-02-29,True
Liv,Knudsen,Thorsengrenda 6,Solberg,0904,Norge,NO,19661102-7522,+47,51380714,1966-11-02,True
Rune,Berntsen,Bakkeekra 618,Steinarås,0661,Norge,NO,19751122-3314,+47,31395748,1975-11-22,True
Laila,Nilsson,Idrottsgatan 64,Mölndal,37185,Sverige,SE,19810921-7812,+46,0995-36 43 90,1981-09-21,True
Valerie,Rojas,Turner Plaza 6378,West Michaelburgh,15872,Danmark,DK,19911207-8082,+45,5416495997,1991-12-07,True
Georg,Persson,Järnvägsgatan 5,Varberg,57402,Sverige,SE,19401027-8612,+46,08-58 88 06,1940-10-27,True
May,Edvardsen,Brekkeåsen 7,Knudsen,7459,Norge,NO,19901220-9370,+47,+4782382937,1990-12-20,True
Brandon,Walker,Mariah Forge 6452,Allenchester,59529,Danmark,DK,19860305-1180,+45,(661)209-2389,1986-03-05,True
Sigurd,Aune,Lienskogen 170,Tonesand,0688,Norge,NO,19751113-8370,+47,921 55 235,1975-11-13,True
Agneta,Nygren,Gentorget 883,Landskrona,56430,Sverige,SE,20000511-2356,+46,08-296 697 59,2000-05-11,True
Jan,Andersson,Bäckgatan 95,Halmstad,84773,Sverige,SE,19870119-4200,+46,08-862 960 42,1987-01-19,True
Carin,Jansson,Villagränd 118,Ängelholm,30970,Sverige,SE,19980618-2739,+46,035-517 38 95,1998-06-18,True
Helinä,Karlsson,Aidasmäentie 4,Kangasala,76337,Finland,FI,19440812-652K,+358,057 868 4164,1944-08-12,True
Pertti,Lahtinen,Ylipalonbulevardi 220,Äänekoski,84479,Finland,FI,19710827-133L,+358,0802433030,1971-08-27,True
Johannes,Bakke,Amundsenåsen 20,Sørensen,3869,Norge,NO,19871209-5464,+47,90485732,1987-12-09,True
Siv,Berg,Fabriksstigen 97,Sundsvall,72411,Sverige,SE,19911126-8623,+46,007-02 82 61,1991-11-26,True
Eva,Karlsson,Genvägen 6,Norrköping,84692,Sverige,SE,19860402-6151,+46,0711-835 08,1986-04-02,True
Vilhelmina,Bengtsson,Ringgränd 590,Borås,68203,Sverige,SE,19420913-9673,+46,+46 (0)8 164 840 90,1942-09-13,True
Thomas,Larsson,Granstigen 556,Alingsås,68352,Sverige,SE,19910821-3664,+46,087-755 91 57,1991-08-21,True
Gustav,Andreasson,Skogsstigen 1,Uppsala,54782,Sverige,SE,19401103-8029,+46,039-10 12 35,1940-11-03,True
Karin,Olsson,Trädgårdsgatan 8,Luleå,83224,Sverige,SE,19761220-1925,+46,08-075 67 36,1976-12-20,True
Hanna,Sandvik,Hagengrenda 5,Ninasund,7102,Norge,NO,19411027-6189,+47,91440341,1941-10-27,True
Vanessa,Bradley,Olson Parkways 63250,North Abigailbury,99384,Danmark,DK,19441220-7491,+45,+1-704-621-6440x045,1944-12-20,True
Jonas,Andersson,Backgatan 770,Ängelholm,10545,Sverige,SE,19920506-9016,+46,0090-869 71,1992-05-06,True
Trond,Kristensen,Paulsenvollen 53E,Nguyen,6956,Norge,NO,19950219-6353,+47,41294554,1995-02-19,True
Peter,Borg,Stationsgatan 695,Linköping,84838,Sverige,SE,19930812-6188,+46,0942-081 96,1993-08-12,True
Alfred,Öberg,Kvarnstigen 521,Landskrona,37741,Sverige,SE,19530424-0008,+46,08-722 832 55,1953-04-24,True
Kirsten,Haugen,Moenbakken 52F,Eide,5216,Norge,NO,19601019-4532,+47,46907353,1960-10-19,True
Patricia,Harmon,Michael Ways 764,Kimberlyburgh,31684,Danmark,DK,19470228-8264,+45,+1-603-267-0286,1947-02-28,True
Tor,Rønning,Haugenåsen 9H,Elinsund,8173,Norge,NO,19790214-8605,+47,41800876,1979-02-14,True
Siv,Holm,Jenssenhavna 59C,Jensborg,6501,Norge,NO,20001027-9469,+47,62136004,2000-10-27,True
Lene,Ellingsen,Danielsensvingen 3,Ellingsen,4207,Norge,NO,19960728-5354,+47,+47 76 60 20 60,1996-07-28,True
Michael,Garcia,Spence Drive 78637,Franklinberg,48250,Danmark,DK,19521207-6381,+45,803-427-9549,1952-12-07,True
Maria,Möller,Järnvägsstigen 4,Landskrona,19670,Sverige,SE,19980731-2027,+46,08-03 88 05,1998-07-31,True
Elisabeth,Larsson,Ekgatan 383,Eskilstuna,90994,Sverige,SE,19690310-0840,+46,08-230 24 67,1969-03-10,True
Sandra,Harris,Hayes Spring 7976,Smithhaven,09439,Danmark,DK,19670503-7688,+45,3459218291,1967-05-03,True
Tove,Eide,Hellandskrenten 74,Jacobsen,2470,Norge,NO,19440621-7132,+358,40433585,1944-06-21,True
Karen,Tveit,Olsenfaret 918,Knudsen,9213,Norge,NO,19910201-8350,+47,+4700074300,1991-02-01,True
Roland,Andersson,Skoltorget 6,Karlskoga,62625,Sverige,SE,19870728-2463,+46,+46 (0)8 833 857 42,1987-07-28,True
Laura,Weiss,Thomas Centers 30577,Amyhaven,86503,Danmark,DK,19440805-0663,+45,001-933-405-4695x873,1944-08-05,True
Ingvar,Wikström,Gengränd 94,Sandviken,50212,Sverige,SE,19940529-3020,+46,+46 (0)898 908 14,1994-05-29,True
Cheryl,Sims,Gary Radial 2006,Cherylchester,57675,Danmark,DK,19980205-4667,+45,6807226715,1998-02-05,True
Lars,Andersson,Ringgatan 21,Nyköping,36839,Sverige,SE,19780429-5896,+46,+46 (0)24 47 91 88,1978-04-29,True
Marianne,Gulbrandsen,Abrahamsensvingen 5E,Thomassen,9911,Norge,NO,19461015-4183,+47,444 01 432,1946-10-15,True
Kelly,Walker,Chambers Meadows 518,North Stevenborough,31289,Danmark,DK,19821215-7936,+45,344-692-9897,1982-12-15,True
Åke,Eriksson,Ängsvägen 6,Kalmar,80565,Sverige,SE,19590417-7158,+46,08-173 04 73,1959-04-17,True
Valter,Nilsson,Fabriksvägen 503,Kristianstad,46647,Sverige,SE,19830206-5806,+46,08-102 51 70,1983-02-06,True
Erik,Andersson,Villavägen 1,Luleå,89042,Sverige,SE,19770329-1579,+46,08-66 26 96,1977-03-29,True
Reinhold,Svensson,Skolvägen 1,Karlskoga,64876,Sverige,SE,19560312-6804,+46,08-70 10 06,1956-03-12,True
Johannes,Haapaniemi,Ilkantie 3,Paltamo,14543,Finland,FI,19451125-779U,+358,0458189013,1945-11-25,True
Sisko,Haavisto,Uudenkaupunginbulevardi 378,Kempele,41011,Finland,FI,19620322-897X,+358,+358207952916,1962-03-22,True
Ove,Larsson,Strandvägen 110,Luleå,72333,Sverige,SE,19650224-0309,+46,+46 (0)8 667 676 32,1965-02-24,True
Anneli,Bergström,Skolgatan 159,Östersund,17991,Sverige,SE,19431125-2595,+46,08-801 087 69,1943-11-25,True
Birgitta,Fransson,Ekstigen 2,Västerås,52695,Sverige,SE,19660801-3485,+46,+46 (0)38 65 50 87,1966-08-01,True
Juhani,Mäkelä,Werner Wirénin katu 25,Alavus,98872,Finland,FI,19681022-454A,+358,0157388468,1968-10-22,True
Elizabeth,Mejia,Walker Ports 1995,Keithhaven,54997,Danmark,DK,19680727-8052,+45,001-778-464-6227x7620,1968-07-27,True
Kristoffer,Ruud,Holmtunet 7,Anitafoss,7514,Norge,NO,19830509-0283,+47,66 60 81 84,1983-05-09,False
Evan,Day,Madison Center 430,Jamesview,85870,Danmark,DK,19951107-7673,+45,(444)730-2216,1995-11-07,True
Arne,Pettersson,Parkgränd 787,Malmö,71823,Sverige,SE,19960812-0013,+46,08-45 92 44,1996-08-12,True
Marie,Johansson,Björktorget 51,Stockholm,20781,Sverige,SE,19750417-4882,+46,0214-06 33 55,1975-04-17,True
Charlotta,Andersson,Industrigatan 04,Sandviken,61974,Sverige,SE,19861107-4547,+46,0559-798 98,1986-11-07,True
Annette,Andersson,Backstigen 4,Mölndal,27157,Sverige,SE,19820130-9394,+46,080-39 17 06,1982-01-30,True
Christopher,Hudson,Delacruz Street 64471,East Howardmouth,00536,Danmark,DK,19620507-4521,+45,001-264-291-3915,1962-05-07,True
Sofia,Forsberg,Industristigen 820,Göteborg,29144,Sverige,SE,19950801-3418,+46,08-930 39 29,1995-08-01,True
Annikki,Niemi,Orapihlajakuja 1,Pedersören kunta,18773,Finland,FI,19430217-047R,+358,0436961127,1943-02-17,True
Alicia,Romero,Rice Squares 3513,East Angelachester,76397,Danmark,DK,19841010-4532,+45,819-354-3726,1984-10-10,True
Elizabeth,Parker,Alejandro Station 370,North Davidport,05606,Danmark,DK,19601124-5788,+45,5888197111,1960-11-24,True
Juhani,Mårtensson,Parkgatan 0,Karlskrona,27531,Sverige,SE,19610417-8578,+46,+46 (0)8 245 310 24,1961-04-17,True
Olav,Johnsen,Arnesenhøgda 843,Jørgensen,4878,Norge,NO,19431027-7396,+47,06845632,1943-10-27,True
Ragnar,Johansson,Storvägen 635,Varberg,16263,Sverige,SE,19820920-3736,+46,+46 (0)109 085 29,1982-09-20,True
Georg,Svensson,Stationsgränd 30,Eskilstuna,92040,Sverige,SE,19500420-3466,+46,08-77 77 18,1950-04-20,True
Margareta,Hansson,Skolgatan 596,Nyköping,67156,Sverige,SE,19760821-0644,+46,+46 (0)80 45 06 75,1976-08-21,True
Carl,Martinsson,Parktorget 38,Borlänge,64427,Sverige,SE,19670921-8787,+46,027-952 81 50,1967-09-21,True
Irene,Mathisen,Jacobsenringen 7,Jennyfjord,7206,Norge,NO,19810514-6509,+47,+4767506046,1981-05-14,True
Jan,Karlsson,Idrottsgränd 308,Jönköping,53398,Sverige,SE,19710419-8377,+46,+46 (0)815 955 92,1971-04-19,True
Åsa,Persson,Ekgatan 070,Landskrona,89959,Sverige,SE,19460818-0151,+46,08-60 95 91,1946-08-18,True
Linnea,Olsson,Skogsvägen 259,Piteå,11245,Sverige,SE,19490512-4095,+46,+46 (0)180 623 75,1949-05-12,True
Troy,Hughes,Mary Village 6898,New Stephaniemouth,21651,Danmark,DK,19610615-7052,+45,8533315953,1961-06-15,True
Cecilie,Jensen,Engenekra 162,Fredriksen,1067,Norge,NO,19690414-9463,+47,39 82 34 55,1969-04-14,True
Johannes,Lampinen,Ostostie 80,Vaasa,60390,Finland,FI,19640109-295L,+358,+358 352943584,1964-01-09,True
Hans,Madsen,Brekkejordet 35,Sæther,2465,Norge,NO,19691111-3697,+47,46520887,1969-11-11,True
Maria,Persson,Järnvägsvägen 901,Karlskoga,34084,Sverige,SE,19610819-9109,+46,0887-14 77 59,1961-08-19,True
Bengt,Svensson,Storgatan 76,Trollhättan,22835,Sverige,SE,19850826-4570,+46,+46 (0)42 04 80 79,1985-08-26,True
Mats,Johannesson,Gengatan 285,Göteborg,72782,Sverige,SE,19460416-5539,+46,+46 (0)8 716 860 14,1946-04-16,True
Torbjørn,Arnesen,Simonsengjerdet 6,Jakobsen,6173,Norge,NO,19740605-7902,+47,+47 76 11 51 48,1974-06-05,True
Margareta,Strömberg,Ringvägen 90,Karlstad,50710,Sverige,SE,19850512-9757,+46,08-45 86 39,1985-05-12,True
Unni,Haug,Nielsenløkka 24,Svendsen,4408,Norge,NO,19520830-8096,+47,90640275,1952-08-30,True
Rebecca,Olofsson,Ektorget 14,Motala,39541,Sverige,SE,19550704-2592,+46,08-482 809 64,1955-07-04,True
Anna,Karlsson,Ringstigen 8,Örebro,84375,Sverige,SE,19410506-5416,+46,08-261 133 41,1941-05-06,True
Elisabeth,Haugen,Paulsenmyra 582,Øyvindhamn,7308,Norge,NO,19910917-8704,+47,+47 95 44 22 39,1991-09-17,True
Lars,Holm,Aunemyra 6,Thomassen,1221,Norge,NO,19900301-3358,+47,99295238,1990-03-01,True
Eva,Falk,Kyrkvägen 47,Sandviken,44115,Sverige,SE,19731015-4649,+45,+46 (0)950 126 69,1973-10-15,True
Jon,Moe,Kristensentunet 7,Rolfhavn,3479,Norge,NO,19400217-1848,+47,90245357,1940-02-17,True
Elisabet,Hansson,Gengatan 544,Halmstad,74679,Sverige,SE,19741214-7356,+46,08-753 80 03,1974-12-14,True
Karin,Lindholm,Nyvägen 9,Sundsvall,62736,Sverige,SE,19740322-2154,+46,+46 (0)276 592 62,1974-03-22,True
James,Cole,Barnes Canyon 74781,West Stephanieview,34160,Danmark,DK,19431008-4347,+45,001-495-267-1585x94134,1943-10-08,True
Kyle,Duke,Joseph Highway 529,North Amber,10583,Danmark,DK,19630508-8818,+45,(280)903-0128,1963-05-08,True
Lillemor,Johansson,Villavägen 42,Gävle,61828,Sverigeq,SE,19440409-5900,+46,083-00 93 88,1944-04-09,True
Alexander,Göransson,Ringvägen 8,Motala,11482,Sverige,SE,19700909-1621,+46,016-11 83 31,1970-09-09,True
Sigrid,Halvorsen,Martinsenlunden 45,Christensen,7762,Norge,NO,19560522-1070,+47,410 51 824,1956-05-22,True
Amy,Little,Maria Extensions 640,Vanessachester,44855,Danmark,DK,19661004-0203,+45,7215173581,1966-10-04,True
Nils,Olausson,Bäckvägen 4,Ängelholm,73559,Sverige,SE,19950919-5097,+46,046-34 27 95,1995-09-19,True
Mari,Rønning,Tveitskogen 5,Isaksen,5007,Norge,NO,19470106-6929,+47,+4796523852,1947-01-06,True
Peter,George,Kimberly Divide 429,North Cheryl,97005,Danmark,DK,19810110-4660,+45,815.964.4043x009,1981-01-10,True
Elizabeth,Meyer,Stanley Hollow 5223,North Lisa,00504,Danmark,DK,19891011-9221,+45,(297)596-7430,1989-10-11,True
Thomas,Brooks,Romero Spur 499,Port Shawnberg,13896,Danmark,DK,19780713-2166,+45,+1-511-740-3656x5820,1978-07-13,True
Berit,Andersson,Järnvägsstigen 7,Umeå,41804,Sverige,SE,19620622-7576,+46,015-084 48 47,1962-06-22,True
Juha,Mäkelä,Eerik Pyhän kuja 87,Vieremä,17072,Finland,FI,19430412-392N,+358,0725150784,1943-04-12,True
Maria,Anttila,Nervanderinbulevardi 235,Brändö,57190,Finland,FI,19460421-251B,+358,+358 75 2957945,1946-04-21,True
Gunilla,Öberg,Skogstorget 7,Falun,73332,Sverige,SE,19410929-8791,+46,0653-65 79 19,1941-09-29,True
Matthew,Holloway,Jeanette Manors 31582,Hectorfurt,02998,Danmark,DK,19881026-5701,+45,001-443-554-3284x06924,1988-10-26,True
Andrea,Ellingsen,Gulbrandsenengen 01,Vegardhelle,3070,Norge,NO,19510228-0104,+47,66 53 09 20,1951-02-28,True
Karin,Holm,Aasroa 11A,Hagen,2511,Norge,NO,19550529-8480,+47,479 70 876,1955-05-29,True
Robert,Ahmed,Tangenhagen 81,Emilievær,4972,Norge,NO,19411208-5192,+47,29507142,1941-12-08,True
Ari,Tanskanen,Yhteiskouluntie 466,Varkaus,30046,Finland,FI,19450715-315S,+358,(+358) 131170829,1945-07-15,True
Lars,Andreasson,Parkvägen 53,Falun,82294,Sverige,SE,19690208-3988,+46,+46 (0)29 79 20 24,1969-02-08,True
Margareta,Gustafsson,Ekgatan 826,Karlskrona,93513,Sverige,SE,19611017-5479,+46,+46 (0)8 118 820 10,1961-10-17,True
Jørgen,Olsen,Haugealléen 8,Jennyodden,0115,Norge,NO,19890726-6806,+47,10514293,1989-07-26,True
Maria,Andersson,Skolstigen 976,Mölndal,20411,Sverige,SE,19810913-6785,+46,082-62 23 56,1981-09-13,True
Erik,Nilsson,Åkertorget 3,Jönköping,67188,Sverige,SE,19400607-7511,+46,090-30 55 29,1940-06-07,True
Ellinor,Hellberg,Kyrktorget 367,Halmstad,15411,Sverige,SE,19860714-4015,+46,08-911 97 04,1986-07-14,True
Ann,Paulsen,Solheimmoen 8,Thorsen,7798,Norge,NO,19901029-8226,+47,65 81 64 07,1990-10-29,True
Göran,Adolfsson,Furustigen 6,Örebro,24263,Sverige,SE,19940718-1580,+46,0218-15 86 67,1994-07-18,True
Onni,Huhtala,Freesentie 308,Keminmaa,06258,Finland,FI,19991208-399U,+358,(+358) 048708772,1999-12-08,True
Monica,Griffith,Williams Mills 7950,Lake Davidfort,06473,Danmark,DK,19660115-0016,+45,001-686-898-7268x29579,1966-01-15,True
Mette,Nygård,Liejordet 3,Magnevik,0245,Norge,NO,20000110-2942,+47,+47 72 32 33 22,2000-01-10,True
Lars,Pettersson,Åkergränd 0,Örebro,41963,Sverige,SE,19450919-0703,+46,08-645 956 86,1945-09-19,True
Bo,Olofsson,Nytorget 6,Växjö,63817,Sverige,SE,19530609-7354,+46,+46 (0)8 593 475 51,1953-06-09,True
Marie,Sørensen,Aasløkka 79,Lie,7927,Norge,NO,19630412-2296,+47,+4758012419,1963-04-12,False
Nils,Edvardsen,Jenssenengen 93,Fredriksen,2845,Norge,NO,19920529-2176,+47,+47 25 04 25 71,1992-05-29,True
Elisabeth,Eriksson,Skolvägen 09,Piteå,45498,Sverige,SE,19460730-0997,+46,0492-22 94 71,1946-07-30,True
Linnéa,Nilsson,Furustigen 82,Jönköping,72683,Sverige,SE,19530224-7037,+46,+46 (0)8 855 460 11,1953-02-24,True
Elsa,Holmström,Åkervägen 833,Lund,52163,Sverige,SE,19500403-8396,+46,08-35 11 60,1950-04-03,True
Joni,Partanen,Jännekatu 1,Myrskylä,98446,Finland,FI,19730813-8985,+358,066 072 2227,1973-08-13,True
Alexandra,Williams,Gray Ways 76450,Krystalchester,69901,Danmark,DK,20000128-3259,+45,(483)955-1022x54286,2000-01-28,True
Gunilla,Persson,Kvarnvägen 206,Nyköping,48866,Sverige,SE,19950218-5535,+46,0685-306 56,1995-02-18,True
Anthony,Marquez,Rubio Tunnel 2472,Port Kevin,54316,Danmark,DK,19970725-7542,+45,+1-906-996-6982x50804,1997-07-25,True
Fredrik,Carlsson,Skogsgatan 6,Lund,79208,Sverige,SE,20000603-9064,+46,+46 (0)8 150 300 81,2000-06-03,True
Erik,Johansson,Stationsvägen 717,Lidingö,77775,Sverige,SE,19400710-7162,+46,08-577 415 53,1940-07-10,True
Helen,Persson,Industrigatan 232,Uddevalla,73936,Sverige,SE,19901213-7858,+46,0814-354 72,1990-12-13,True
Bo,Svensson,Idrottsgatan 5,Östersund,72383,Finland,SE,19901108-7029,+46,0261-575 12,1990-11-08,True
Olav,Myhre,Jørgensenrøa 7,Kåreby,1290,Finland,NO,19870825-1869,+47,+4713426419,1987-08-25,True
Teresia,Carlsson,Grangatan 231,Alingsås,46374,Sverige,SE,19840623-5477,+46,0873-44 60 14,1984-06-23,True
Hannu,Huotari,Kolsinpolku 803,Toholampi,43661,Finland,FI,19540406-581X,+358,+358173377368,1954-04-06,True
Rhonda,Ryan,Ramirez Lights 5075,Williamsbury,80037,Danmark,DK,19410612-3469,+45,485-350-4578,1941-06-12,True
Eivind,Ødegård,Christenseneggen 5,Bøe,6999,Norge,NO,19590719-0177,47,01 11 80 24,1959-07-19,False
Sherri,Bartlett,Sharon Mountains 621,Charlesberg,32907,Danmark,DK,19471016-6413,+45,6774622974,1947-10-16,True
Anders,Olsson,Bäcktorget 15,Halmstad,77864,Sverige,SE,19710828-1680,+46,014-956 92 83,1971-08-28,True
Veijo,Moilanen,Mannerheiminkuja 90,Sievi,32295,Finland,FI,19411127-866S,+358,(+358) 363301247,1941-11-27,True
Axel,Dahl,Gengränd 7,Sundsvall,55737,Sverige,SE,19881002-6130,+46,019-50 54 19,1988-10-02,True
Annie,Lindholm,Järnvägsstigen 478,Borås,75353,Sverige,SE,19840808-2110,+46,+46 (0)8 835 852 98,1984-08-08,True
Steven,Esparza,Jones Inlet 667,Robertsville,94822,Danmark,DK,19621111-0615,+45,(599)344-9158x32400,1962-11-11,True
Marianne,Jönsson,Grangränd 813,Linköping,30312,Sverige,SE,19931108-8472,+46,026-29 61 06,1993-11-08,True
Unni,Aasen,Tveitstykket 8,Christensen,2200,Norge,NO,19400107-0705,+47,94520898,1940-01-07,True
Eva,Hagen,Rasmussenbakken 85E,Haugen,4050,Norge,NO,19980717-9742,+47,43748494,1998-07-17,True
Gunnel,Pettersson,Åkervägen 533,Karlskoga,25668,Sverige,SE,19970228-6947,+46,+46 (0)8 284 895 24,1997-02-28,True
Erling,Andersson,Ekvägen 54,Borås,90764,Sverige,SE,19610221-8043,+46,08-803 45 69,1961-02-21,True
Lisbeth,Johansson,Aspgatan 991,Karlstad,30308,Sverige,SE,19770519-2347,+46,+46 (0)55 33 89 35,1977-05-19,True
Åke,Persson,Backstigen 926,Helsingborg,49631,Sverige,SE,19770120-5888,+46,08-52 08 02,1977-01-20,True
Janne,Johnsen,Sætherhaugen 857,Bakke,9051,Norge,NO,19530901-1329,+47,+47 25 12 73 46,1953-09-01,True
Inga,Ekman,Villavägen 405,Östersund,12273,Sverige,SE,19650405-8255,+46,+46 (0)923 996 78,1965-04-05,True
Mathias,Abrahamsen,Andreassenbråten 15,Berge,1619,Norge,NO,19660903-8782,+47,79575860,1966-09-03,True
Bruce,Hogan,Taylor Haven 87922,Port Sarabury,90262,Danmark,DK,19610714-6990,+45,+1-761-262-0220x00788,1961-07-14,True
Onni,Nevala,Porekuja 9,Viitasaari,40527,Finland,FI,19820813-1476,+358,+358 186737849,1982-08-13,True
Ingrid,Mattsson,Villagatan 610,Norrköping,56829,Sverige,SE,19440328-1287,+46,+46 (0)983 338 91,1944-03-28,True
Olof,Gustafsson,Ekvägen 471,Örnsköldsvik,10782,Sverige,SE,19950221-6044,+46,+46 (0)32 85 10 78,1995-02-21,True
Andrea,Rasmussen,Birkelandkroken 32,Alfås,8977,Norge,NO,19940810-9534,+47,+4722574233,1994-08-10,True
Magne,Haugen,Halvorsenkroken 1B,Pettersen,3251,Norge,NO,19540205-1224,+47,96721941,1954-02-05,True
Claes,Persson,Björkvägen 80,Norrköping,26769,Sverige,SE,19820109-6974,+46,+46 (0)03 40 12 68,1982-01-09,True
Maria,Norman,Kyrktorget 3,Jönköping,76900,Sverige,SE,19841122-8384,+46,063-56 87 40,1984-11-22,True
Casey,Mayo,Riley Bypass 806,West Shannon,11566,Danmark,DK,19940126-7629,+45,001-687-972-9880x6204,1994-01-26,True
Tony,Hall,Melissa Plaza 783,New Chadside,21720,Danmark,DK,19910624-0725,+45,+1-350-696-2367x1909,1991-06-24,True
Anne,Vik,Jakobsenroa 53A,Evensen,2177,Norge,NO,19831008-0039,+47,+4702858486,1983-10-08,True
Vilde,Gundersen,Myklebustplassen 277,Thomassen,2269,Norge,NO,19890215-7155,+47,05 28 30 36,1989-02-15,True
Henning,Johansson,Stationsgatan 22,Kristianstad,71729,Sverige,SE,19701113-9601,+46,08-164 64 99,1970-11-13,True
Ivar,Nordström,Skogsvägen 6,Örnsköldsvik,13487,Sverige,SE,19610517-4342,+46,08-81 41 35,1961-05-17,True
Susanne,Svensson,Parktorget 6,Borås,69208,Sverige,SE,19720403-4184,+46,08-90 45 22,1972-04-03,True
Janne,Bakken,Ellingsenmoen 6H,Torbjørnnes,3953,Norge,NO,19870908-1358,+47,419 41 942,1987-09-08,True
Karin,Berglund,Skolvägen 955,Luleå,17720,Sverige,SE,19960103-9509,+46,0958-294 73,1996-01-03,True
Harri,Moilanen,Veräjämäentie 834,Naantali,86709,Finland,FI,20000104-3619,+358,038 607 2878,2000-01-04,True
Tapani,Jaatinen,Haakoninlahdenbulevardi 74,Säkylä,04789,Finland,FI,19850811-193J,+358,+358 360517761,1985-08-11,True
Lauri,Salmela,Lukkarimäenbulevardi 227,Vieremä,52104,Finland,FI,19690323-7647,+358,+358 771138468,1969-03-23,True
Karen,Smith,Miller Parks 5230,Maryfort,42783,Danmark,DK,19941026-6308,+45,8044879525,1994-10-26,True
Petter,Moen,Nilsenstykket 2D,Strøm,2561,Norge,NO,19510923-9451,+47,+4745206258,1951-09-23,True
Britt,Boström,Kyrkgatan 88,Luleå,96727,Sverige,SE,19871005-7308,+46,08-010 47 30,1987-10-05,True
Andreas,Ågren,Parkgatan 83,Lund,88975,Sverige,SE,19900630-7704,+46,08-46 69 82,1990-06-30,True
Lisbeth,Magnusson,Backgatan 7,Lidingö,37853,Sverige,SE,19460210-5045,+46,08-22 80 98,1946-02-10,True
Sarah,Duran,Megan Corners 18888,Lake Veronica,92164,Danmark,DK,19590327-7071,+45,224.487.3779,1959-03-27,True
Berit,Fredriksson,Kvarngatan 05,Ängelholm,26037,Sverige,SE,19950621-5362,+46,+46 (0)8 508 779 75,1995-06-21,True
Karolina,Johansson,Björkvägen 7,Varberg,19453,Sverige,SE,19790204-3200,+46,028-51 82 09,1979-02-04,True
Joseph,Lambert,Gonzales Valleys 993,East Kathrynberg,94324,Danmark,DK,19851101-0768,+45,207-907-5675x909,1985-11-01,True
Bengt,Magnusson,Kvarnstigen 990,Norrköping,97021,Sverige,SE,19860706-1638,+46,0438-81 74 44,1986-07-06,True
Nils,Andersson,Granvägen 3,Stockholm,79417,Sverige,SE,19981115-3503,+46,0614-32 51 17,1998-11-15,True
Sigrid,Ljung,Backvägen 4,Skellefteå,76075,Sverige,SE,19681207-9585,+46,+46 (0)8 379 135 73,1968-12-07,True
Simen,Berg,Rasmussenhagen 53,Lindavær,6613,Norge,NO,19440718-6491,+47,36 21 83 62,1944-07-18,True
Tonje,Aune,Nielsentoppen 2,Sebastianvåg,4167,Norge,NO,19770603-3106,+47,27590738,1977-06-03,True
Margaret,Beard,Jacobson Hollow 3247,Michaelberg,14144,Danmark,DK,19990304-1868,+45,+1-238-239-4802x47042,1999-03-04,True
Maria,Eriksson,Backtorget 54,Malmö,49487,Sverige,SE,19441224-2111,+46,004-60 56 09,1944-12-24,True
Marika,Tiihonen,Fagottipolku 3,Saarijärvi,60266,Finland,FI,19440114-408A,+358,+358 19 0243572,1944-01-14,True
Maria,Eriksson,Aspgränd 4,Trollhättan,32727,Sverige,SE,19951104-7674,+46,+46 (0)8 992 837 45,1995-11-04,True
Ida,Larsson,Bäckvägen 57,Trollhättan,66733,Sverige,SE,19931015-8918,+46,059-920 81 03,1993-10-15,True
Linda,Andersson,Kvarngatan 3,Västerås,40267,Sverige,SE,19521207-4620,+46,0788-254 96,1952-12-07,True
Robin,Andersson,Gengatan 81,Trollhättan,29538,Sverige,SE,19990526-9711,+46,08-18 79 12,1999-05-26,True
Dag,Haug,Johannessenmoen 622,Gerdøy,2083,Norge,NO,19510914-3912,+47,73137457,1951-09-14,True
Simon,Larsson,Strandvägen 4,Malmö,35865,Sverige,SE,19711214-6028,+46,08-112 37 89,1971-12-14,True
Leif,Carlsson,Kyrkgatan 37,Mölndal,11644,Sverige,SE,20000805-7424,+46,089-884 68 60,2000-08-05,True
Heather,Taylor,Hodge Brook 3031,North Aaron,76058,Danmark,DK,19410606-8645,+45,(644)508-0162x62583,1941-06-06,True
Therese,Berglund,Nyvägen 01,Örebro,87474,Sverige,SE,19800426-2007,+46,+46 (0)70 55 40 57,1980-04-26,True
Matilda,Höglund,Kyrkovägen 039,Sundsvall,25677,Sverige,SE,19850425-2603,+46,+46 (0)914 095 07,1985-04-25,True
Thomas,Santana,Burton Drive 785,New Gabriel,60627,Danmark,DK,19660221-1971,+45,001-414-258-3892,1966-02-21,True
